PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Clark Park,49.2571,-123.072,1500 E 14th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=81
Clinton Park,49.2704,-123.0503,2690 Grant St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=70
Coal Harbour Park,49.29,-123.1251,500 Broughton St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=13
Collingwood Park,49.2371,-123.0367,5275 Mckinnon St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=151
Columbia Park,49.2314,-123.112,5908 Alberta St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=143
Connaught Park,49.2619,-123.1597,2390 W 10th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=108
Coopers' Park,49.2735,-123.1131,1020 Marinaside Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Crab Park at Portside,49.2847,-123.1012,101 E Waterfront Road,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Creekside Park,49.2739,-123.1028,1455 Quebec St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Creekway Park,49.2883,-123.037,2957 Bridgeway Street,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=246
David Lam Park,49.2724,-123.1242,1300 Pacific Boulevard,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=16
Deering Island Park,49.2182,-123.1853,3530 Deering Island Place,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=38
Delamont Park,49.2658,-123.1526,2091 W 7th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=109
Devonian Harbour Park,49.2942,-123.1358,1929 W Georgia St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=18
Devonshire Park,49.2448,-123.1329,1250 Devonshire Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Douglas Park,49.2529,-123.1213,801 W 22nd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=175
Dusty Greenwell Park,49.2923,-123.0487,2799 Wall St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=71
Earles Park,49.2335,-123.0477,2801 E 41st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=152
Ebisu Park,49.2054,-123.1319,8810 Olser St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=236
Eburne Park,49.2065,-123.1292,950 W 71st Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=123
Elm Park,49.2337,-123.1635,5800 Elm St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=91
Emery Barnes Park,49.2764,-123.1241,Davie St And Richards St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
English Bay Beach Park,49.2862,-123.1438,1700 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=201
Everett Crowley Park,49.2111,-123.0381,8200 Kerr St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=101
Falaise Park,49.255,-123.0296,3434 Falaise Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Foster Park,49.2339,-123.0287,5501 Aberdeen St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=154
Fraser River Park,49.2083,-123.1518,8705 Angus Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=92
Fraser River Trail,49.2004,-123.1359, Hudson Street on the Fraser River,http://vancouver.ca/parks/
Fraserview Golf Course,49.2119,-123.0483,7800 Vivian Drive,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Fraserview Park,49.2154,-123.0674,7595 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=192
Garden Park,49.2682,-123.059,1851 Garden Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=51
Gaston Park,49.2362,-123.0312,3470 Crowley Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=155
General Brock Park,49.2446,-123.0586,2301 Brock St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
George Park,49.2124,-123.0942,500 E 63rd Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=184
George Wainborn Park,49.2725,-123.1293,450 Beach Crescent,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Gladstone-Riverside Park,49.2057,-123.0624,2500 E Kent Av South,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=193
Glen Park,49.2496,-123.0829,3999 Glen Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=83
Gordon Park,49.2235,-123.0705,6675 Commercial St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=194
Grandview Park,49.2735,-123.0705,1657 Charles St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=52
Granville Island Water Park,49.2696,-123.135,"False Creek Community Centre, Granville Island",http://www.city.vancouver.bc.ca/parks/parks/index.htm
