SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Henderson Elem.,49.2226,-123.0953,451 E 53rd Av,http://www.vsb.bc.ca/schools/john-henderson
Queen Victoria Annex,49.2672,-123.0663,1850 E 3rd Av,http://www.vsb.bc.ca/schools/queen-victoria-grandview-annex
McBride Annex,49.2419,-123.085,4750 St. Catherines St,http://www.vsb.bc.ca/schools/mcbride-annex
Bayview Elem.,49.2665,-123.1823,2251 Collingwood St,http://www.vsb.bc.ca/schools/bayview
Lord Beaconsfield Elem.,49.2521,-123.0527,3663 Penticton St,http://www.vsb.bc.ca/schools/lord-beaconsfield
Kitchener Elem.,49.2506,-123.1792,4055 Blenheim St,http://www.vsb.bc.ca/schools/lord-kitchener
Edith Cavell Elem.,49.2529,-123.1172,500 W 20th Av,http://www.vsb.bc.ca/schools/edith-cavell
Shaughnessy Elem.,49.2487,-123.1438,4250 Marguerite St,http://www.vsb.bc.ca/schools/shaughnessy
Begbie Elem.,49.2718,-123.038,1430 Lillooet St,http://www.vsb.bc.ca/schools/sir-matthew-begbie
Maple Grove Elem.,49.2294,-123.1515,6199 Cypress St,http://www.vsb.bc.ca/schools/maple-grove
Quilchena Elem.,49.2372,-123.1516,5300 Maple St,http://www.vsb.bc.ca/schools/quilchena
Grandview Elem.,49.2662,-123.0744,2055 Woodland Drive,http://www.vsb.bc.ca/schools/grandview
Renfrew Elem.,49.2515,-123.0321,3315 E 22nd Av,http://www.vsb.bc.ca/schools/renfrew
Sir Alexander Mackenzie Elem.,49.2345,-123.0867,960 E 39th Av,http://www.vsb.bc.ca/schools/sir-alexander-mackenzie
Queen Elizabeth Elem.,49.2578,-123.2011,4102 W 16th Av,http://www.vsb.bc.ca/schools/queen-elizabeth
Thunderbird Elem.,49.2636,-123.0319,2325 Cassiar St,http://www.vsb.bc.ca/schools/thunderbird
Trafalgar Elem.,49.2502,-123.1646,4170 Trafalgar St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/trafalgar
Laurier Elem.,49.2178,-123.125,7350 Laurel St,http://www.vsb.bc.ca/schools/sir-wilfred-laurier
Sir William Osler Elem.,49.2308,-123.1327,5970 Selkirk St,http://www.vsb.bc.ca/schools/sir-william-osler
Bruce Elem.,49.2421,-123.0257,3633 Tanner St,http://www.vsb.bc.ca/schools/graham-d-bruce
Queen Elizabeth Annex,49.2489,-123.1947,4275 Crown St,http://www.vsb.bc.ca/schools/queen-elizabeth-annex
Tillicum Annex,49.2863,-123.0556,2450 Cambridge St,http://www.vsb.bc.ca/schools/tillicum-annex
Kerrisdale Annex,49.2329,-123.1774,3250 W 43rd Av,http://www.vsb.bc.ca/schools/kerrisdale-annex
Lord Selkirk Annex,49.2453,-123.0725,4444 Dumfries St,http://www.vsb.bc.ca/schools/selkirk-annex
MacCorkindale Elem.,49.228,-123.0294,6100 Battison St,http://www.vsb.bc.ca/schools/dr-hn-maccorkindale
Chief Maquinna Annex,49.2664,-123.0451,2882 E 4th Av,http://www.vsb.bc.ca/schools/chief-maquinna
Henderson Annex,49.221,-123.088,801 E 54th Av,http://www.vsb.bc.ca/schools/henderson-annex
Tyee Elem.,49.2536,-123.0738,3525 Dumfries St,http://www.vsb.bc.ca/schools/tyee
Sir James Douglas Annex,49.2148,-123.0733,7668 Borden St,http://www.vsb.bc.ca/schools/sir-james-douglas-annex
Garibaldi Annex,49.2754,-123.0503,1025 Slocan St,http://www.vsb.bc.ca/
